AÑ;TRIMESTRE;PROVEEDOR;COD DEPARTAMENTO;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;CABECERA MUNICIPAL;COD CENTRO POBLADO;CENTRO POBLADO;COBERTURA 2G;COBERTURA 3G;COBERTURA HSPA+, HSPA+DC;COBERTUTA 4G;COBERTURA LTE;COBERTURA 5G
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13248;EL GUAMO;N;13248004;ROBLES;N;N;N;N;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001028;LAS EUROPAS;S;S;S;S;N;N
2022;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8520;PALMAR DE VARELA;S;8520000;PALMAR DE VARELA;S;S;S;S;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13650;SAN FERNANDO;S;13650000;SAN FERNANDO;S;S;S;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8078;BARANOA;N;8078002;PITAL;N;N;N;N;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8001;BARRANQUILLA;S;8001000;BARRANQUILLA;S;S;S;S;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13042;ARENAL;N;13042003;SAN RAFAEL;S;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001034;BARCELONA DE INDIAS;S;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468009;GUATACA;S;S;N;N;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13744;SIMIT�;N;13744007;SAN BLAS;S;N;N;N;N;N
2022;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8433;MALAMBO;N;8433005;PITALITO;S;N;N;N;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13268;EL PEÑ�;N;13268017;PEÑONCIT;S;S;S;N;N;N
2021;1;AVANTEL S.A.S;13;BOLÍVA;13744;SIMIT�;S;13744001;SIMIT�;N;N;N;N;N;N
2023;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8832;TUBAR�;N;8832011;PLAYAS DE EDRIMÁ;S;S;N;S;N;N
2021;3;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8433;MALAMBO;S;8433000;MALAMBO;S;S;N;S;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13654;SAN JACINTO;N;13654008;LAS MERCEDES;N;N;S;S;N;N
2021;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430036;PLAYA DE LAS FLORES;S;N;N;N;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13212;CÓRDOB;N;13212007;TACAMOCHITO;N;N;N;N;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13440;MARGARITA;S;13440000;MARGARITA;S;S;S;N;N;N
2022;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13188;CICUCO;N;13188002;LA PEÑ;S;S;N;N;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8832;TUBAR�;N;8832012;VILLAS DE PALMARITO;S;S;S;S;N;N
2021;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430036;PLAYA DE LAS FLORES;S;N;N;N;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13670;SAN PABLO;N;13670007;POZO AZUL;S;N;N;N;N;N
2022;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13440;MARGARITA;N;13440010;SAN JOSÉ DE LOS TRAPICHE;S;N;N;N;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442016;NUEVO RETÉ;S;S;S;S;N;N
2021;4;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13810;TIQUISIO;S;13810000;PUERTO RICO;N;S;S;N;N;N
2023;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468009;GUATACA;S;N;N;N;N;N
2022;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13894;ZAMBRANO;S;13894000;ZAMBRANO;S;S;S;S;N;N
2021;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13300;HATILLO DE LOBA;N;13300007;CERRO DE LAS AGUADAS;S;N;N;N;N;N
2022;1;AVANTEL S.A.S;13;BOLÍVA;13140;CALAMAR;S;13140000;CALAMAR;S;S;S;S;N;N
2021;3;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8141;CANDELARIA;N;8141002;BUENAVENTURA DE LEÑ;S;S;S;N;N;N
2022;2;AVANTEL S.A.S;8;ATLÁNTIC;8001;BARRANQUILLA;S;8001000;BARRANQUILLA;S;S;S;S;N;N
2021;3;AVANTEL S.A.S;8;ATLÁNTIC;8137;CAMPO DE LA CRUZ;S;8137000;CAMPO DE LA CRUZ;S;S;S;N;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13140;CALAMAR;N;13140004;HATO VIEJO;S;S;N;N;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;S;13430000;MAGANGU�;S;S;S;S;N;N
2023;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001026;ARROYO DE LAS CANOAS;S;S;S;N;N;N
2021;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8558;POLONUEVO;N;8558001;PITAL DEL CARLÍN (PITALITO;S;S;S;N;N;N
2023;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8078;BARANOA;N;8078001;CAMPECHE;S;S;S;S;N;N
2023;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13042;ARENAL;S;13042000;ARENAL;S;S;S;S;N;N
2022;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13838;TURBAN�;S;13838000;TURBAN�;S;S;S;S;N;N
2021;3;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8078;BARANOA;N;8078001;CAMPECHE;S;S;S;S;N;N
